time_iso8601,stars_cumulative
2023-01-10 00:00:00+00:00,6685
2023-01-11 00:00:00+00:00,6715
2023-01-12 00:00:00+00:00,6724
2023-01-13 00:00:00+00:00,6736
2023-01-14 00:00:00+00:00,6754
2023-01-15 00:00:00+00:00,6764
2023-01-16 00:00:00+00:00,6772
2023-01-17 00:00:00+00:00,6779
2023-01-18 00:00:00+00:00,6789
2023-01-19 00:00:00+00:00,6800
2023-01-20 00:00:00+00:00,6817
2023-01-21 00:00:00+00:00,6882
2023-01-22 00:00:00+00:00,6902
2023-01-23 00:00:00+00:00,6923
2023-01-24 00:00:00+00:00,6935
2023-01-25 00:00:00+00:00,6945
2023-01-26 00:00:00+00:00,6955
2023-01-27 00:00:00+00:00,6964
2023-01-28 00:00:00+00:00,6983
2023-01-29 00:00:00+00:00,7019
2023-01-30 00:00:00+00:00,7082
2023-01-31 00:00:00+00:00,7113
2023-02-01 00:00:00+00:00,7135
2023-02-02 00:00:00+00:00,7155
2023-02-03 00:00:00+00:00,7168
2023-02-04 00:00:00+00:00,7220
2023-02-05 00:00:00+00:00,7260
2023-02-06 00:00:00+00:00,7291
2023-02-07 00:00:00+00:00,7329
